imo,name,type,porto,berthing_time,lat,lon,waiting_time_hours,num_positions
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-14T07:41:00Z,-32.041584,-52.074383,393.3666666666667,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-14T18:12:00Z,-32.0429,-52.04409,403.8833333333333,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-15T05:11:00Z,-32.049183,-52.071301,414.8666666666667,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-15T11:15:00Z,-32.076084,-52.091301,420.93333333333334,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-16T05:55:00Z,-32.106533,-52.102634,439.6,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-16T14:39:00Z,-32.048946,-52.072468,448.3333333333333,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-16T22:11:00Z,-32.076874,-52.09148,455.8666666666667,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-17T12:56:04Z,-32.045483,-52.072933,470.6177777777778,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-18T04:09:00Z,-32.0494,-52.07225,485.8333333333333,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-20T01:30:08Z,-32.056767,-52.0564,531.1855555555555,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-20T06:36:00Z,-32.049938,-52.072071,536.2833333333333,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-20T13:08:00Z,-32.075912,-52.091633,542.8166666666667,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-21T18:41:00Z,-32.045448,-52.073284,572.3666666666667,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-22T11:10:00Z,-32.045467,-52.073483,588.85,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-27T09:42:00Z,-32.127682,-52.102154,707.3833333333333,759
9229568,SERRA NEVADA,Tanker,Rio Grande,2026-01-27T16:42:00Z,-32.049381,-52.072266,714.3833333333333,759
9299367,BASTOS I,Tanker,Rio Grande,2026-01-08T15:19:00Z,-32.077526,-52.092007,247.3,1153
9299367,BASTOS I,Tanker,Rio Grande,2026-01-14T11:42:00Z,-32.042282,-52.044201,387.68333333333334,1153
9299367,BASTOS I,Tanker,Rio Grande,2026-01-27T16:44:00Z,-32.073185,-52.082905,704.7166666666667,1153
9413523,JAKARTA,Tanker,Rio Grande,2026-01-28T17:40:22Z,-32.078085,-52.093246666666666,,1254
9343883,PRIGIPOS,Cargo,Rio Grande,2026-01-27T23:39:00Z,-32.103951,-52.1031,698.7333333333333,613
9333840,MOL EARNEST,Cargo - Hazard C (Minor),Rio Grande,2026-01-28T01:43:00Z,-32.124554,-52.100491,,610
